"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
2075,2075,287948,The Transporter Refueled,2015-09-02,"['Action', 'Thriller', 'Crime']",English,5.5,1351,31.354,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this in...",25000000,"['EuropaCorp', 'TF1 Films Production', 'Fundamental Films', 'Canal+', 'OCS', 'TF1', 'TMC', 'Belga Films Fund', 'Belga Films']",72629670,95,He Delivers.,47629670
2077,2077,1891,The Empire Strikes Back,1980-05-20,"['Adventure', 'Action', 'Science Fiction']",English,8.4,15429,31.343,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to captu...",18000000,['Lucasfilm Ltd.'],538400000,124,The Adventure Continues...,520400000
2079,2079,440471,Escape Plan 2: Hades,2018-06-05,"['Action', 'Thriller', 'Mystery']",English,5.1,1254,31.342,"Ray Breslin manages an elite team of security specialists trained in the art of breaking people out of the world's most impenetrable prisons. When his most trusted operative, Shu Ren, is kidnapped...",20000000,"['Leomus Pictures', 'Grindstone Entertainment Group', 'Lionsgate', 'Summit Entertainment', 'Highland Film Group', 'Plastic Fish Productions', 'The Fyzz', 'Ingenious Media', 'Emmett/Furla/Oasis Fil...",17500000,96,This isn't a prision. It's a machine.,-2500000
2080,2080,581389,Space Sweepers,2021-02-05,"['Drama', 'Fantasy', 'Science Fiction']",Korean,7.1,894,31.326,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal...",21000000,"['Bidangil Pictures', 'Merry Christmas']",24571,136,"2092, the space sweep begins!",-20975429
2081,2081,657,From Russia with Love,1963-10-10,"['Action', 'Thriller', 'Adventure']",English,7.1,2611,31.326,"Agent 007 is back in the second installment of the James Bond series, this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decodin...",2500000,"['United Artists', 'Eon Productions', 'Danjaq']",78900000,115,The world's masters of murder pull out all the stops to destroy Agent 007!,76400000
2082,2082,800939,Ticket to Paradise,2022-09-08,"['Romance', 'Comedy']",English,6.6,750,31.320,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,20000000,"['Working Title Films', 'Smoke House Pictures', 'Red Om Films', 'Fin Design & Effects']",160542536,104,They’re in this together for better or worse.,140542536
2084,2084,7518,Over the Hedge,2006-05-17,"['Family', 'Comedy', 'Animation']",English,6.5,4000,31.275,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating – and learns ...",80000000,"['DreamWorks Animation', 'Paramount']",343397247,83,Taking back the neighborhood... One snack at a time.,263397247
2087,2087,33196,Tidal Wave,2009-06-06,"['Action', 'Drama', 'Thriller']",Korean,6.9,393,31.262,"On Haeundae Beach, a guilt-ridden fisherman takes care of a woman whose father accidentally got killed. A scientist reunites with his ex-wife and a daughter who doesn't even remember his face. And...",16000000,"['Polygon Entertainment', 'CJ Entertainment', 'JK Film']",71641901,120,There is No Escape from Nature's Wrath.,55641901
2089,2089,524047,Greenland,2020-07-29,"['Action', 'Thriller', 'Drama']",English,7.1,3886,31.261,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting level...",34000000,"['STX Films', 'Thunder Road', 'Anton', 'G-BASE', 'Riverstone Pictures', 'Truenorth Productions']",52300000,120,NaN,18300000
2090,2090,13183,Watchmen,2009-03-04,"['Action', 'Mystery', 'Science Fiction']",English,7.3,8291,31.256,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investiga...",130000000,"['DC Comics', 'Lawrence Gordon Productions', 'Legendary Pictures', 'Warner Bros. Pictures', 'Paramount', 'Cruel & Unusual Films']",185258983,163,Justice is coming to all of us.  No matter what we do.,55258983
